Month,month,Date,route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo
Aug,8,28,3.0,False,3.0,DEN,21:03,SFO,22:43,UA 2239,Non Stop,UNITED AIRLINES,1.0,"LM 5,310",3 Seats left
Aug,8,28,3.0,False,3.0,DEN,21:03,SFO,22:43,UA 2239,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,29,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80
Aug,8,29,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,
Aug,8,29,2.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",
Aug,8,29,2.0,False,1.0,NRT,13:20,ICN,15:50,OZ 101,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",3 Seats left
Aug,8,29,2.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",
Aug,8,29,2.0,False,2.0,ICN,20:40,SFO,15:40,OZ 212,Non Stop,ASIANA AIRLINES,2.0,,
Aug,8,29,3.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",
Aug,8,29,3.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",2 Seats left
Aug,8,29,3.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 33,620",
Aug,8,29,3.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,30,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,1.0,"LM 40,000",+ US$ 66.80
Aug,8,30,1.0,True,1.0,NRT,17:05,SFO,10:35,UA 838,"Non Stop, 09h 30m",United Airlines ,2.0,,
Aug,8,30,2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",2 Seats left
Aug,8,30,2.0,False,1.0,NRT,09:00,ICN,11:30,OZ 107,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",1 Seats left
Aug,8,30,2.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,1.0,"LM 33,620",3 Seats left
Aug,8,30,2.0,False,2.0,ICN,16:50,SFO,11:50,UA 892,Non Stop,UNITED AIRLINES,2.0,,
Aug,8,31,1.0,False,1.0,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1.0,"LM 8,940",1 Seats left
Aug,8,31,1.0,False,1.0,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2.0,,
Aug,8,31,1.0,False,2.0,TPE,19:40,SFO,16:35,BR 18,Non Stop,EVA AIRWAYS,1.0,"LM 31,060",1 Seats left
Aug,8,31,1.0,False,2.0,TPE,19:40,SFO,16:35,BR 18,Non Stop,EVA AIRWAYS,2.0,,
