Month,month,Date,route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo
Jul,7,16,3.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",
Jul,7,16,3.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,16,3.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",3 Seats left
Jul,7,16,3.0,False,2.0,ICN,18:30,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left
Jul,7,16,4.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,1.0,"LM 7,890",
Jul,7,16,4.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,16,4.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,1.0,"LM 32,110",
Jul,7,16,4.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,17,1.0,False,1.0,SFO,20:23,DEN,23:59,UA 2191,Non Stop,UNITED AIRLINES,1.0,"LM 4,310",
Jul,7,17,1.0,False,1.0,SFO,20:23,DEN,23:59,UA 2191,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,17,1.0,False,2.0,DEN,06:10,LAX,07:39,UA 741,Non Stop,UNITED AIRLINES,1.0,"LM 3,830",
Jul,7,17,1.0,False,2.0,DEN,06:10,LAX,07:39,UA 741,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,17,1.0,False,3.0,LAX,11:25,NRT,14:40,UA 32,Non Stop,UNITED AIRLINES,1.0,"LM 31,860",1 Seats left
Jul,7,17,1.0,False,3.0,LAX,11:25,NRT,14:40,UA 32,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,18,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80
Jul,7,18,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,
Jul,7,21,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80
Jul,7,21,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,
Jul,7,22,1.0,False,1.0,SFO,06:30,DEN,10:12,UA 1402,Non Stop,UNITED AIRLINES,1.0,"LM 5,740",
Jul,7,22,1.0,False,1.0,SFO,06:30,DEN,10:12,UA 1402,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,22,1.0,False,2.0,DEN,12:10,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,260",
Jul,7,22,1.0,False,2.0,DEN,12:10,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,22,2.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,1.0,"LM 7,890",
Jul,7,22,2.0,False,1.0,SFO,23:59,IAH,05:50,UA 505,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,22,2.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,1.0,"LM 32,110",
Jul,7,22,2.0,False,2.0,IAH,10:45,NRT,14:00,UA 7,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,23,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80
Jul,7,23,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,2.0,,
Jul,7,23,2.0,False,1.0,SFO,06:30,DEN,10:12,UA 1402,Non Stop,UNITED AIRLINES,1.0,"LM 5,740",
Jul,7,23,2.0,False,1.0,SFO,06:30,DEN,10:12,UA 1402,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,23,2.0,False,2.0,DEN,12:10,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,1.0,"LM 34,260",
Jul,7,23,2.0,False,2.0,DEN,12:10,NRT,14:55,UA 143,Non Stop,UNITED AIRLINES,2.0,,
Jul,7,25,1.0,True,1.0,SFO,12:10,NRT,14:50,UA 837,"Non Stop, 10h 40m",United Airlines ,1.0,"LM 40,000",+ US$ 27.80
