route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,03
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,03
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,03
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,03
3,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1,"LM 8,940",1 Seats left,Oct,10,03
3,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
3,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",1 Seats left,Oct,10,03
3,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
4,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,940",1 Seats left,Oct,10,03
4,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
4,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",1 Seats left,Oct,10,03
4,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
5,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,1,"LM 30,270",2 Seats left,Oct,10,03
5,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,2,,,Oct,10,03
5,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,1,"LM 9,730",,Oct,10,03
5,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,2,,,Oct,10,03
6,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1,"LM 8,950",1 Seats left,Oct,10,03
6,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
6,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1,"LM 31,050",1 Seats left,Oct,10,03
6,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
7,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,950",1 Seats left,Oct,10,03
7,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
7,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1,"LM 31,050",1 Seats left,Oct,10,03
7,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,03
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,04
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,04
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,04
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,04
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,05
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,05
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,05
2,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,05
3,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,940",1 Seats left,Oct,10,05
3,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,05
3,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",1 Seats left,Oct,10,05
3,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,05
4,False,1,NRT,16:55,LAX,10:50,UA 33,Non Stop,UNITED AIRLINES,1,"LM 31,630",,Oct,10,05
4,False,1,NRT,16:55,LAX,10:50,UA 33,Non Stop,UNITED AIRLINES,2,,,Oct,10,05
4,False,2,LAX,16:50,SAN,17:49,UA 5415,Non Stop,OPERATED BY SKYWEST DBA UNITED EXPRESS,1,"LM 3,400",4 Seats left,Oct,10,05
4,False,2,LAX,16:50,SAN,17:49,UA 5415,Non Stop,OPERATED BY SKYWEST DBA UNITED EXPRESS,2,,,Oct,10,05
4,False,3,SAN,19:38,SFO,21:24,UA 2247,Non Stop,UNITED AIRLINES,1,"LM 4,970",,Oct,10,05
4,False,3,SAN,19:38,SFO,21:24,UA 2247,Non Stop,UNITED AIRLINES,2,,,Oct,10,05
1,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,940",2 Seats left,Oct,10,06
1,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,06
1,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",2 Seats left,Oct,10,06
1,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,06
2,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,950",2 Seats left,Oct,10,06
2,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,06
2,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1,"LM 31,050",2 Seats left,Oct,10,06
2,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,06
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,1,"LM 40,000",+ US$ 66.80,Oct,10,07
1,True,1,NRT,17:05,SFO,10:30,UA 838,"Non Stop, 09h 25m",United Airlines ,2,,,Oct,10,07
2,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,940",1 Seats left,Oct,10,07
2,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,07
2,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",1 Seats left,Oct,10,07
2,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,07
3,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,1,"LM 8,950",1 Seats left,Oct,10,07
3,False,1,NRT,13:25,TPE,16:05,BR 183,Non Stop,EVA AIRWAYS,2,,,Oct,10,07
3,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1,"LM 31,050",1 Seats left,Oct,10,07
3,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,07
1,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1,"LM 8,940",3 Seats left,Oct,10,08
1,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2,,,Oct,10,08
1,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,1,"LM 31,060",3 Seats left,Oct,10,08
1,False,2,TPE,19:40,SFO,16:00,BR 18,Non Stop,EVA AIRWAYS,2,,,Oct,10,08
2,False,1,NRT,16:55,LAX,10:50,UA 33,Non Stop,UNITED AIRLINES,1,"LM 31,630",,Oct,10,08
2,False,1,NRT,16:55,LAX,10:50,UA 33,Non Stop,UNITED AIRLINES,2,,,Oct,10,08
2,False,2,LAX,16:50,SAN,17:49,UA 5415,Non Stop,OPERATED BY SKYWEST DBA UNITED EXPRESS,1,"LM 3,400",,Oct,10,08
2,False,2,LAX,16:50,SAN,17:49,UA 5415,Non Stop,OPERATED BY SKYWEST DBA UNITED EXPRESS,2,,,Oct,10,08
2,False,3,SAN,19:38,SFO,21:24,UA 2247,Non Stop,UNITED AIRLINES,1,"LM 4,970",,Oct,10,08
2,False,3,SAN,19:38,SFO,21:24,UA 2247,Non Stop,UNITED AIRLINES,2,,,Oct,10,08
3,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,1,"LM 30,270",2 Seats left,Oct,10,08
3,False,1,NRT,16:30,MEX,14:15,NH 180,Non Stop,ALL NIPPON AIRWAYS,2,,,Oct,10,08
3,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,1,"LM 9,730",,Oct,10,08
3,False,2,MEX,17:15,SFO,21:01,UA 1272,Non Stop,UNITED AIRLINES,2,,,Oct,10,08
4,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,1,"LM 8,950",3 Seats left,Oct,10,08
4,False,1,NRT,14:25,TPE,17:05,BR 197,Non Stop,EVA AIRWAYS,2,,,Oct,10,08
4,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,1,"LM 31,050",3 Seats left,Oct,10,08
4,False,2,TPE,23:30,SFO,19:50,BR 28,Non Stop,EVA AIRWAYS,2,,,Oct,10,08
1,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,1,"LM 40,000",,Oct,10,09
1,True,1,NRT,17:00,SFO,10:30,NH 8,"Non Stop, 09h 30m",All Nippon Airways ,2,,,Oct,10,09
