route,isDirect,itrFlight,deptApt,deptAptTime,arrApt,arrAptTime,flightNo,flightSpan,operateBy,itrClass,ClassMiles,ClassInfo,Month,month,Date
3.0,False,1.0,SFO,23:40,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,May,5,14
3.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",2 Seats left,May,5,14
3.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,,,May,5,14
4.0,False,1.0,SFO,09:05,YVR,11:29,AC 563,Non Stop,AIR CANADA,1.0,"LM 5,220",,May,5,14
4.0,False,1.0,SFO,09:05,YVR,11:29,AC 563,Non Stop,AIR CANADA,2.0,,,May,5,14
4.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,1.0,"LM 28,410",,May,5,14
4.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,2.0,,,May,5,14
4.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 6,370",1 Seats left,May,5,14
4.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,May,5,14
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,1.0,"LM 40,000",+ US$ 26.70,May,5,16
1.0,True,1.0,SFO,11:40,NRT,14:50,UA 837,"Non Stop, 11h 10m",United Airlines ,2.0,,,May,5,16
2.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,1.0,"LM 9,730",,May,5,16
2.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,2.0,,,May,5,16
2.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,1.0,"LM 30,270",1 Seats left,May,5,16
2.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,2.0,,,May,5,16
1.0,False,1.0,SFO,00:50,TPE,05:15,BR 17,Non Stop,EVA AIRWAYS,1.0,"LM 31,060",2 Seats left,May,5,21
1.0,False,1.0,SFO,00:50,TPE,05:15,BR 17,Non Stop,EVA AIRWAYS,2.0,,,May,5,21
1.0,False,2.0,TPE,08:50,NRT,13:15,BR 198,Non Stop,EVA AIRWAYS,1.0,"LM 8,940",2 Seats left,May,5,21
1.0,False,2.0,TPE,08:50,NRT,13:15,BR 198,Non Stop,EVA AIRWAYS,2.0,,,May,5,21
2.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,1.0,"LM 9,730",,May,5,21
2.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,2.0,,,May,5,21
2.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,1.0,"LM 30,270",1 Seats left,May,5,21
2.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,2.0,,,May,5,21
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,1.0,"LM 9,730",,May,5,26
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,2.0,,,May,5,26
1.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,1.0,"LM 30,270",1 Seats left,May,5,26
1.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,2.0,,,May,5,26
1.0,False,1.0,SFO,09:05,YVR,11:29,AC 563,Non Stop,AIR CANADA,1.0,,,May,5,28
1.0,False,1.0,SFO,09:05,YVR,11:29,AC 563,Non Stop,AIR CANADA,2.0,"LM 11,000",1 Seats left,May,5,28
1.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,1.0,"LM 28,410",,May,5,28
1.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,2.0,,,May,5,28
1.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 6,390",,May,5,28
1.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",1 Seats left,May,5,28
2.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,1.0,"LM 9,730",,May,5,28
2.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,2.0,,,May,5,28
2.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,1.0,"LM 30,270",1 Seats left,May,5,28
2.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,2.0,,,May,5,28
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,1.0,"LM 9,730",,May,5,31
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,2.0,,,May,5,31
1.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,1.0,"LM 30,270",1 Seats left,May,5,31
1.0,False,2.0,MEX,01:05,NRT,06:30,NH 179,Non Stop,ALL NIPPON AIRWAYS,2.0,,,May,5,31
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,1.0,"LM 9,740",,Jun,6,03
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,2.0,,,Jun,6,03
1.0,False,2.0,MEX,01:05,NRT,06:15,NH 179,Non Stop,ALL NIPPON AIRWAYS,1.0,,,Jun,6,03
1.0,False,2.0,MEX,01:05,NRT,06:15,NH 179,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 64,130",1 Seats left,Jun,6,03
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,1.0,"LM 9,740",,Jun,6,04
1.0,False,1.0,SFO,13:13,MEX,18:45,UA 821,Non Stop,UNITED AIRLINES,2.0,,,Jun,6,04
1.0,False,2.0,MEX,01:05,NRT,06:15,NH 179,Non Stop,ALL NIPPON AIRWAYS,1.0,,,Jun,6,04
1.0,False,2.0,MEX,01:05,NRT,06:15,NH 179,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 64,130",1 Seats left,Jun,6,04
1.0,False,1.0,SFO,09:05,YVR,11:29,AC 563,Non Stop,AIR CANADA,1.0,"LM 5,220",4 Seats left,Jun,6,11
1.0,False,1.0,SFO,09:05,YVR,11:29,AC 563,Non Stop,AIR CANADA,2.0,,,Jun,6,11
1.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,1.0,"LM 28,410",,Jun,6,11
1.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,2.0,,,Jun,6,11
1.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 6,370",,Jun,6,11
1.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,Jun,6,11
1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 33,630",1 Seats left,Jul,7,05
1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,Jul,7,05
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,,,Jul,7,05
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",2 Seats left,Jul,7,05
1.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,Jul,7,06
1.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,06
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",2 Seats left,Jul,7,06
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,Jul,7,06
2.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 33,620",3 Seats left,Jul,7,06
2.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,Jul,7,06
2.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 6,380",2 Seats left,Jul,7,06
2.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",2 Seats left,Jul,7,06
1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 33,630",,Jul,7,07
1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,Jul,7,07
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,,,Jul,7,07
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",2 Seats left,Jul,7,07
1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,1.0,"LM 33,630",3 Seats left,Jul,7,08
1.0,False,1.0,SFO,23:30,ICN,04:00,OZ 211,Non Stop,ASIANA AIRLINES,2.0,,,Jul,7,08
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,,,Jul,7,08
1.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 6,880",1 Seats left,Jul,7,08
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,Jul,7,09
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,09
1.0,False,2.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",,Jul,7,09
1.0,False,2.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,Jul,7,09
2.0,False,1.0,SFO,08:38,YVR,11:04,UA 784,Non Stop,UNITED AIRLINES,1.0,"LM 5,200",,Jul,7,09
2.0,False,1.0,SFO,08:38,YVR,11:04,UA 784,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,09
2.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,1.0,"LM 28,410",,Jul,7,09
2.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,2.0,,,Jul,7,09
2.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 6,390",,Jul,7,09
2.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,Jul,7,09
3.0,False,1.0,SFO,23:45,TPE,04:05,UA 853,Non Stop,UNITED AIRLINES,1.0,"LM 31,060",1 Seats left,Jul,7,09
3.0,False,1.0,SFO,23:45,TPE,04:05,UA 853,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,09
3.0,False,2.0,TPE,08:50,NRT,13:15,BR 198,Non Stop,EVA AIRWAYS,1.0,,,Jul,7,09
3.0,False,2.0,TPE,08:50,NRT,13:15,BR 198,Non Stop,EVA AIRWAYS,2.0,"LM 16,340",1 Seats left,Jul,7,09
4.0,False,1.0,SFO,23:50,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,1.0,"LM 33,200",,Jul,7,09
4.0,False,1.0,SFO,23:50,HKG,05:00,UA 877,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,09
4.0,False,2.0,HKG,09:30,NRT,15:10,NH 812,Non Stop,ALL NIPPON AIRWAYS,1.0,,,Jul,7,09
4.0,False,2.0,HKG,09:30,NRT,15:10,NH 812,Non Stop,ALL NIPPON AIRWAYS,2.0,"LM 7,910",1 Seats left,Jul,7,09
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,Jul,7,11
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,11
1.0,False,2.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",,Jul,7,11
1.0,False,2.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,Jul,7,11
1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,1.0,"LM 40,000",,Jul,7,12
1.0,True,1.0,SFO,12:40,NRT,15:25,NH 7,"Non Stop, 10h 45m",All Nippon Airways ,2.0,,,Jul,7,12
2.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,Jul,7,12
2.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,12
2.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",1 Seats left,Jul,7,12
2.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,,,Jul,7,12
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,1.0,"LM 31,660",,Jul,7,16
1.0,False,1.0,SFO,10:35,ICN,15:00,UA 893,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,16
1.0,False,2.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 8,340",,Jul,7,16
1.0,False,2.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",2 Seats left,Jul,7,16
2.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,1.0,"LM 31,670",,Jul,7,16
2.0,False,1.0,SFO,23:55,ICN,04:20,UA 805,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,16
2.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,1.0,,,Jul,7,16
2.0,False,2.0,ICN,09:00,NRT,11:20,OZ 102,Non Stop,ASIANA AIRLINES,2.0,"LM 14,060",1 Seats left,Jul,7,16
3.0,False,1.0,SFO,08:38,YVR,11:04,UA 784,Non Stop,UNITED AIRLINES,1.0,"LM 5,200",,Jul,7,16
3.0,False,1.0,SFO,08:38,YVR,11:04,UA 784,Non Stop,UNITED AIRLINES,2.0,,,Jul,7,16
3.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,1.0,"LM 28,410",,Jul,7,16
3.0,False,2.0,YVR,12:30,ICN,16:05,AC 63,Non Stop,AIR CANADA,2.0,,,Jul,7,16
3.0,False,3.0,ICN,18:35,NRT,21:00,OZ 108,Non Stop,ASIANA AIRLINES,1.0,"LM 6,390",,Jul,7,16
